solo,duo,seed,dt,score_for_solo,final_tick
v12,v9,1299,16,1.0,1445
v10,v11,1300,16,1.0,2350
v11,v10,1301,16,0.0,4000
v10,v11,1302,16,1.0,1384
v11,v10,1303,16,0.0,1779
v10,v12,1304,16,0.0,1060
v12,v10,1305,16,0.0,4000
v10,v12,1306,16,0.0,1730
v12,v10,1307,16,0.0,4000
v11,v12,1308,16,0.0,4000
v12,v11,1309,16,1.0,745
v11,v12,1310,16,0.0,1413
v12,v11,1311,16,1.0,775
